# InSight catalogue art credits — GENERATED by scripts/build-catalog-art.mjs countries, do not edit.
# One row per image under web/catalog-art/countries/:
# key<TAB>file<TAB>name<TAB>author<TAB>licence<TAB>source
# The key is the catalogue key (public/countries.txt); the file is what
# hosting serves; author and licence are what the licence requires shown
# beside the picture, which the app's credits sheet draws from this file.
# A takedown is `node scripts/build-catalog-art.mjs countries --remove <key>` (D420).
# 246 entries.
124	124.webp	Canada	Original: George F. G. Stanley Modified by: The original uploader was Illegitimate Barrister at Wik…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Canada_(Pantone).svg
132	132.webp	Cape Verde	Original: Pedro Gregório Vector: SKopp	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Cape_Verde_(10-17).svg
136	136.webp	Cayman Islands	Unknown authorUnknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Cayman_Islands.svg
140	140.webp	Central African Republic	Barthélemy Boganda	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Central_African_Republic.svg
144	144.webp	Sri Lanka	Original: Sri Lanka Vectorization: Zscout370, Mike Rohsopht	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Sri_Lanka.svg
148	148.webp	Chad	SKopp & others (see upload log)	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Chad.svg
152	152.webp	Chile	See file history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Chile.svg
156	156.webp	China	Zeng Liansong	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_People's_Republic_of_China.svg
158	158.webp	Taiwan	Sun Yat-sen	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_China.svg
162	162.webp	Christmas Island	Tony Couch	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Christmas_Island.svg
166	166.webp	Cocos (Keeling) Islands	Original: Mohammed Minkom Vector: SpinnerLaserzthe2nd	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Flag_of_the_Cocos_(Keeling)_Island.svg
170	170.webp	Colombia	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Colombia.svg
174	174.webp	Comoros	Original: Comoros; Vector: see file history	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Comoros.svg
175	175.webp	Mayotte	Germenfer	CC0	https://commons.wikimedia.org/wiki/File:Flag_of_Mayotte_(Local).svg
178	178.webp	Republic of the Congo	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_the_Congo.svg
180	180.webp	DR Congo	Nightstallion	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Democratic_Republic_of_the_Congo.svg
184	184.webp	Cook Islands	unknown author	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Cook_Islands.svg
188	188.webp	Costa Rica	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Costa_Rica.svg
191	191.webp	Croatia	Nightstallion, Elephantus, Neoneo13, Denelson83, Rainman, R-41, Minestrone, Lupo, Zscout370, MaGa (…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Croatia.svg
192	192.webp	Cuba	Miguel Teurbe Tolón and Narciso López	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Cuba.svg
196	196.webp	Cyprus	İsmet Güney, SVG by User:Vzb83~commonswiki	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Cyprus.svg
203	203.webp	Czechia	Jaroslav Kursa	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Czech_Republic.svg
204	204.webp	Benin	Drawn by User:SKopp, rewritten by User:Gabbe	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Benin.svg
208	208.webp	Denmark	Madden and others	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Denmark.svg
212	212.webp	Dominica	Alwin Bully	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Dominica.svg
214	214.webp	Dominican Republic	Juan Pablo Duarte	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_the_Dominican_Republic.svg
218	218.webp	Ecuador	President of the Republic of Ecuador, first uploaded by Denelson83 as Flag of Ecuador.svg, modifica…	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_Ecuador.svg
222	222.webp	El Salvador	See File history below for details.	Public domain	https://commons.wikimedia.org/wiki/File:Flag_of_El_Salvador.svg
